,lat,lng,city,country
aau.dk,57.0355,9.9412,Aalborg,DK
ab.az,40.143105,47.576927000000005,,AZ
ac.msk.su,55.7386,37.6068,,RU
acad.bg,42.6833,23.3167,Sofia,BG
acad.md,47.411631,28.369884999999996,,MD
acadiau.ca,45.0834,-64.3655,Wolfville,CA
acnet.ge,37.751,-97.822,,US
acssouth.com,33.8743,-118.372,Redondo Beach,US
ad.jp,36.204824,138.252924,,JP
adelaide.edu.au,-34.9287,138.599,Adelaide,AU
admu.edu.ph,14.629,121.073,Quezon City,PH
ams.org,37.751,-97.822,,US
anl.gov,30.0866,-94.1274,Beaumont,US
ansp.br,-22.8305,-43.2192,,BR
anu.edu.au,-33.494,143.21,,AU
apc.org,51.5142,-0.0931,London,GB
apctp.org,36.0292,129.365,Pohang,KR
ariadne-t.gr,37.9667,23.7167,,GR
arizona.edu,32.2338,-110.95,Tucson,US
armenia.su,55.7386,37.6068,,RU
as.md,47.0188,28.8128,,MD
asm.md,47.0056,28.8575,Chisinau,MD
astro.it,41.87194,12.56738,,IT
asu.edu,37.751,-97.822,,US
atomki.hu,47.4925,19.0514,,HU
au-kbc.org,37.751,-97.822,,US
aub.com,29.4969,-98.4032,San Antonio,US
aub.edu.lb,53.3449,-6.2658,Temple Bar,IE
auth.gr,40.6406,22.9594,Ágios Pávlos,GR
ayala.as,-14.270972,-170.132217,,AS
ballhausen.de,52.5167,13.4,Berlin,DE
bas-net.by,53.9,27.5667,Minsk,BY
bas.bg,42.7,23.3333,,BG
bbk.ac.uk,51.5167,-0.1167,Bloomsbury,GB
bc.ca,56.130366,-106.34677099999999,,CA
berea.edu,37.4056,-122.077,Mountain View,US
berkeley.edu,43.7442,-120.389,Brothers,US
bg.ac.yu,44.016521000000004,21.005859,,RS
bgu.ac.il,31.5,34.75,,IL
bham.ac.uk,52.45,-1.9167,Edgbaston,GB
bilkent.edu.tr,39.8595,32.7423,Lodumlu,TR
binghamton.edu,30.0866,-94.1274,Beaumont,US
bishkek.su,42.8731,74.6003,Bishkek,KG
biu.ac.il,31.5,34.75,,IL
bke.hu,47.4925,19.0514,,HU
bnl.gov,37.751,-97.822,,US
bose.in,37.751,-97.822,,US
boun.edu.tr,41.0177,28.9744,Istanbul,TR
bowdoin.edu,43.8973,-69.9779,Brunswick,US
brandeis.edu,42.3567,-71.2505,Waltham,US
brown.edu,41.824,-71.4128,Providence,US
brunel.ac.uk,51.5312,-0.4824,Uxbridge,GB
bu.edu,42.3471,-71.1027,Boston,US
buap.mx,18.9732,-98.1835,Puebla,MX
buffalo.edu,42.9784,-78.7998,Amherst,US
calstatela.edu,34.0818,-118.175,Los Angeles,US
caltech.edu,43.7442,-120.389,Brothers,US
cam.ac.uk,52.2333,0.0833,Girton,GB
cambridge.ac.uk,52.2333,0.0833,Girton,GB
camk.edu.pl,52.25,21.0,Warsaw,PL
cankaya.edu.tr,36.9399,30.6761,Cankaya,TR
cant.ac.uk,51.279,1.0799,Canterbury,GB
canterbury.ac.nz,-41.0,174.0,,NZ
cardiff.ac.uk,51.5,-3.2,Cardiff,GB
carleton.ca,45.399,-75.6871,Ottawa,CA
cas.cz,50.0848,14.4112,,CZ
cau.edu,37.751,-97.822,,US
cbpf.br,-22.8305,-43.2192,,BR
ccnu.edu.cn,35.86166,104.195397,,CN
ccu.edu.tw,23.5,121.0,,TW
cea.fr,48.8582,2.3387,,FR
cea.ru,55.7522,37.6156,Moscow,RU
cecs.cl,-33.45,-70.6667,Santiago,CL
celsius.se,59.3247,18.056,,SE
cern.ch,47.1449,8.1551,,CH
cesca.es,40.4172,-3.684,,ES
cesnet.cz,50.1,14.3333,Vokovice,CZ
cf.ac.uk,51.5,-3.2,Cardiff,GB
cft.edu.pl,52.25,21.0,Warsaw,PL
chalmers.se,57.7167,11.9667,Gothenburg,SE
charm.net,37.751,-97.822,,US
chiba-u.ac.jp,35.5993,140.132,Chiba,JP
chiba-u.jp,35.5993,140.132,Chiba,JP
chonbuk.ac.kr,37.5112,126.974,,KR
chubu.ac.jp,35.69,139.69,,JP
chungbuk.ac.kr,35.5529,127.49,Chungbuk,KR
chuo-u.ac.jp,35.8669,139.39,Sayama,JP
chuvsu.ru,56.175,47.2864,Cheboksary,RU
ciae.ac.cn,39.9288,116.389,Beijing,CN
cilea.it,43.1479,12.1097,,IT
cineca.it,43.1479,12.1097,,IT
cinvestav.mx,32.4914,-115.037,Distrito Federal,MX
circe.fr,49.0107,2.0403,Jouy-le-Moutier,FR
city.ac.uk,51.5167,-0.1167,Holborn,GB
clemson.edu,34.6834,-82.8374,Clemson,US
clu.edu,34.2092,-118.874,Thousand Oaks,US
cmu.edu,40.444,-79.9552,Pittsburgh,US
cnea.edu.ar,-30.9546,-58.7833,Federal,AR
cnea.gov.ar,-30.9546,-58.7833,Federal,AR
cnr.it,43.1479,12.1097,,IT
cnrs.fr,45.7485,4.8467,Lyon,FR
cnusc.fr,50.6942,3.1746,Roubaix,FR
colorado.edu,40.015,-105.271,Boulder,US
columbia.edu,40.7975,-73.9683,New York,US
com2com.ru,55.7386,37.6068,,RU
compuserve.com,37.751,-97.822,,US
concordia.ca,45.5,-73.5833,Montreal,CA
conicit.ve,6.42375,-66.58973,,VE
cornell.edu,42.4474,-76.4837,Ithaca,US
cren.net,42.2694,-83.7282,Ann Arbor,US
csic.es,40.4172,-3.684,,ES
css-mps.ru,55.7386,37.6068,,RU
csufresno.edu,29.4969,-98.4032,San Antonio,US
csulb.edu,33.7843,-118.116,Long Beach,US
cuni.cz,50.0765,14.5104,Prague,CZ
cuny.edu,40.7651,-73.9858,New York,US
cusat.ac.in,20.5667,78.8333,Hinganghat,IN
cvut.cs,49.817492,15.472961999999999,,CZ
cvut.cz,50.2667,14.5167,Neratovice,CZ
cwru.edu,41.5074,-81.6053,Cleveland,US
d400.de,51.165690999999995,10.451526,,DE
daejin.ac.kr,37.8944,127.199,Pocheon-si,KR
dal.ca,44.6344,-63.5822,Halifax,CA
dartmouth.edu,43.7045,-72.285,Hanover,US
dbp.de,51.165690999999995,10.451526,,DE
dcu.ie,53.3478,-6.2597,,IE
demokritos.gr,37.9667,23.7167,,GR
demon.nl,52.3667,5.2368,Almere Stad,NL
desy.de,51.2993,9.491,,DE
dias.ie,53.3331,-6.2489,Dublin,IE
dlut.edu.cn,35.86166,104.195397,,CN
dnttm.ro,44.418,26.1691,Bucharest,RO
dou.dk,56.26392,9.501785,,DK
dp.ua,48.4593,35.0386,Dnipro,UA
dreamwiz.com,37.5112,126.974,,KR
du.ac.in,28.684,77.2014,Roopnagar,IN
dubna.su,61.52401,105.31875600000001,,RU
duke.edu,35.9967,-78.8966,Durham,US
dur.ac.uk,54.7667,-1.5333,Shincliffe,GB
durham.ac.uk,54.7667,-1.5333,Shincliffe,GB
dvgu.ru,43.1056,131.874,Vladivostok,RU
ecust.edu.cn,35.86166,104.195397,,CN
ed.ac.uk,55.9521,-3.1965,Edinburgh,GB
edinburgh.ac.uk,55.9521,-3.1965,Edinburgh,GB
edogawa-u.ac.jp,36.204824,138.252924,,JP
ehu.es,40.463667,-3.7492199999999998,,ES
elect.ru,61.52401,105.31875600000001,,RU
elte.hu,47.162494,19.503304,,HU
eltech.ru,61.52401,105.31875600000001,,RU
email.com,33.6013,-111.887,Scottsdale,US
emory.edu,33.7952,-84.3248,Atlanta,US
ens-lyon.fr,46.227638,2.213749,,FR
ens.fr,46.227638,2.213749,,FR
ericsson.se,60.128161,18.643501,,SE
