Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,componentnumber,strongcompnum,modularity_class,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,eigencentrality
1001,1001,,10,83,93,10,83,93,0.002262,0.013579,0,8675,0,0.000012,12,0.205822,0.239403,31325.987485,0.083918,0.003194
9304045,9304045,,16,1,17,16,1,17,0.000369,0.000004,0,594,0,0.000064,1,1,1,301.901755,0.044118,0.005746
9308122,9308122,,115,7,122,115,7,122,0.008593,0.000302,0,587,0,0.000283,1,1,1,6156.357774,0.057309,0.057921
9309097,9309097,,140,4,144,140,4,144,0.009141,0.000266,0,211,0,0.001294,1,1,1,11604.829042,0.034625,0.077625
9311042,9311042,,55,2,57,55,2,57,0.004387,0.000242,0,787,0,0.000163,1,1,1,367.57373,0.072995,0.036253
9401139,9401139,,421,40,461,421,40,461,0.03813,0.001178,0,125,13,0.002571,4,0.455696,0.608025,623063.18257,0.011525,0.218734
9404151,9404151,,77,2,79,77,2,79,0.008645,0.000179,0,323,0,0.000559,4,0.402062,0.442308,12546.061285,0.061181,0.059789
9407087,9407087,,1299,9,1308,1299,9,1308,0.087375,0.001107,0,128,4,0.006891,5,0.352778,0.427034,257938.605777,0.009961,0.607171
9408099,9408099,,1006,7,1013,1006,7,1013,0.070924,0.001621,0,129,4,0.003438,6,0.283186,0.34987,39791.387146,0.012014,0.44819
9501030,9501030,,126,27,153,126,27,153,0.015617,0.005527,0,370,0,0.001357,6,0.327155,0.391218,144397.604647,0.06566,0.123279
9503124,9503124,,1114,10,1124,1114,10,1124,0.126501,0.002524,0,484,0,0.00524,7,0.269714,0.317554,321053.984754,0.010842,0.693146
9504090,9504090,,337,4,341,337,4,341,0.036671,0.001167,0,601,0,0.002428,5,0.291304,0.328234,41464.090472,0.025539,0.280774
9504145,9504145,,192,2,194,192,2,194,0.02005,0.000315,0,212,0,0.000929,2,0.625,0.7,1662.973166,0.033465,0.13285
9505025,9505025,,30,14,44,30,14,44,0.003065,0.00501,0,906,0,0.000268,8,0.246664,0.294764,23820.154396,0.117336,0.026727
9505054,9505054,,63,10,73,63,10,73,0.00457,0.003845,0,880,0,0.000213,8,0.236319,0.277597,9865.548944,0.065068,0.031798
9505105,9505105,,327,21,348,327,21,348,0.033374,0.007245,0,649,0,0.000841,8,0.253021,0.309228,126807.500545,0.042615,0.195985
9505162,9505162,,205,25,230,205,25,230,0.021213,0.008236,0,654,0,0.00053,8,0.255969,0.314866,53435.035679,0.058268,0.122884
9506048,9506048,,49,7,56,49,7,56,0.003961,0.003515,0,881,0,0.000201,9,0.233868,0.273948,3022.088961,0.108442,0.031442
9506112,9506112,,189,17,206,189,17,206,0.018319,0.003986,0,872,0,0.000371,9,0.229715,0.271186,104768.16742,0.066256,0.103595
9506144,9506144,,77,15,92,77,15,92,0.007375,0.005806,0,1145,0,0.000218,9,0.226518,0.268607,26683.634971,0.061753,0.046309
9507050,9507050,,160,19,179,160,19,179,0.014785,0.006048,0,891,0,0.000932,9,0.229344,0.277995,59858.468276,0.062237,0.116854
9507158,9507158,,301,16,317,301,16,317,0.02476,0.005642,0,1146,0,0.000912,8,0.237493,0.27989,105084.706884,0.022391,0.179219
9508094,9508094,,90,29,119,90,29,119,0.00937,0.006267,0,1232,13,0.000181,11,0.230607,0.294625,45412.429456,0.07271,0.048294
9508155,9508155,,192,53,245,192,53,245,0.020034,0.010844,0,1201,0,0.000245,12,0.232355,0.308449,474216.288347,0.053931,0.107809
9510142,9510142,,35,28,63,35,28,63,0.002908,0.008085,0,1359,0,0.000156,13,0.219109,0.27652,38413.830991,0.132873,0.030988
9510225,9510225,,175,22,197,175,22,197,0.020975,0.008205,0,1377,0,0.000866,12,0.227005,0.278075,276784.122861,0.047395,0.155514
