Id,Label,timeset,modularity_class,indegree,outdegree,Degree
1001,1001,,54,10,83,93
9304045,9304045,,54,16,1,17
9308122,9308122,,54,115,7,122
9309097,9309097,,54,140,4,144
9311042,9311042,,54,55,2,57
9401139,9401139,,2,421,40,461
9404151,9404151,,54,77,2,79
9407087,9407087,,37,1299,9,1308
9408099,9408099,,37,1006,7,1013
9501030,9501030,,2,126,27,153
9503124,9503124,,2,1114,10,1124
9504090,9504090,,54,337,4,341
9504145,9504145,,54,192,2,194
9505025,9505025,,54,30,14,44
9505054,9505054,,54,63,10,73
9505105,9505105,,54,327,21,348
9505162,9505162,,54,205,25,230
9506048,9506048,,54,49,7,56
9506112,9506112,,54,189,17,206
9506144,9506144,,54,77,15,92
9507050,9507050,,54,160,19,179
9507158,9507158,,54,301,16,317
9508094,9508094,,2,90,29,119
9508155,9508155,,54,192,53,245
9510142,9510142,,54,35,28,63
9510225,9510225,,54,175,22,197
9510234,9510234,,54,92,37,129
9511030,9511030,,54,329,21,350
9511171,9511171,,54,49,22,71
9601108,9601108,,54,95,39,134
9602022,9602022,,54,520,25,545
9602114,9602114,,54,252,35,287
9603003,9603003,,54,194,20,214
9603150,9603150,,54,148,26,174
9603161,9603161,,54,274,32,306
9603167,9603167,,37,467,16,483
9605184,9605184,,54,148,22,170
9605222,9605222,,54,24,23,47
9606017,9606017,,37,110,14,124
9606040,9606040,,37,118,6,124
9607163,9607163,,37,186,7,193
9607207,9607207,,37,127,11,138
9608086,9608086,,54,28,10,38
9609070,9609070,,54,81,15,96
9609071,9609071,,54,65,30,95
9609239,9609239,,37,145,41,186
9611137,9611137,,54,139,65,204
9612108,9612108,,54,37,25,62
9701162,9701162,,54,114,24,138
9702094,9702094,,37,62,37,99
9702155,9702155,,54,63,30,93
9702198,9702198,,54,59,31,90
9703082,9703082,,54,49,30,79
9703166,9703166,,37,424,22,446
9704097,9704097,,54,29,30,59
9705030,9705030,,54,70,26,96
9705044,9705044,,54,71,27,98
9705104,9705104,,54,65,34,99
9705220,9705220,,37,39,56,95
9706005,9706005,,54,11,15,26
9707014,9707014,,54,16,20,36
9707042,9707042,,2,43,18,61
9707049,9707049,,54,16,25,41
9710230,9710230,,4,139,10,149
9711036,9711036,,54,8,23,31
9711104,9711104,,54,17,7,24
9712028,9712028,,54,129,26,155
9712042,9712042,,37,14,7,21
9802194,9802194,,54,22,22,44
9805056,9805056,,54,17,13,30
9805206,9805206,,54,11,20,31
9806094,9806094,,54,22,21,43
9810188,9810188,,4,328,30,358
9811217,9811217,,54,24,58,82
9905036,9905036,,54,14,18,32
9907041,9907041,,54,12,4,16
9908007,9908007,,54,11,27,38
9908144,9908144,,4,54,41,95
9909108,9909108,,37,23,24,47
9909120,9909120,,37,22,4,26
9909229,9909229,,54,18,27,45
9910238,9910238,,54,11,21,32
9910248,9910248,,54,5,31,36
9910268,9910268,,54,5,27,32
9204040,9204040,,54,11,0,11
9203084,9203084,,54,33,0,33
9204035,9204035,,54,40,0,40
9205041,9205041,,54,34,0,34
9207049,9207049,,54,16,0,16
9207111,9207111,,54,18,0,18
9301042,9301042,,37,344,0,344
9301043,9301043,,54,69,0,69
9201015,9201015,,2,14,1,15
9201040,9201040,,4,35,0,35
9201047,9201047,,54,12,1,13
9202046,9202046,,54,91,1,92
9202059,9202059,,54,33,0,33
9202092,9202092,,1,64,0,64
9203008,9203008,,8,9,0,9
9203031,9203031,,54,17,0,17
9204037,9204037,,54,4,0,4
9204046,9204046,,2,66,0,66
9205046,9205046,,31,58,0,58
9205060,9205060,,31,3,1,4
9205062,9205062,,1,8,3,11
9205068,9205068,,54,167,0,167
9206023,9206023,,8,3,0,3
9206051,9206051,,1,19,0,19
9206078,9206078,,31,76,2,78
9207016,9207016,,2,219,1,220
9208076,9208076,,31,22,0,22
9209052,9209052,,31,41,4,45
9210015,9210015,,65,37,0,37
9210021,9210021,,65,104,0,104
9210121,9210121,,2,39,4,43
9211021,9211021,,31,199,0,199
9211041,9211041,,2,7,2,9
9212089,9212089,,54,3,1,4
9301005,9301005,,2,13,2,15
9302033,9302033,,65,80,9,89
9302069,9302069,,2,4,5,9
9302126,9302126,,34,111,10,121
9303032,9303032,,34,20,7,27
9304155,9304155,,1,15,6,21
9305185,9305185,,2,171,13,184
9308042,9308042,,1,22,3,25
9305139,9305139,,2,51,0,51
9309140,9309140,,54,194,19,213
9204102,9204102,,37,71,0,71
9211097,9211097,,37,81,1,82
9402002,9402002,,2,282,14,296
9402005,9402005,,54,58,7,65
9402044,9402044,,37,257,0,257
9403195,9403195,,37,88,1,89
9403198,9403198,,37,124,1,125
9406128,9406128,,2,29,5,34
9205081,9205081,,2,77,0,77
9207053,9207053,,2,102,0,102
9208055,9208055,,2,32,1,33
9209016,9209016,,2,76,0,76
9211056,9211056,,2,68,4,72
