Id,Label,timeset,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks
1001,1001,,54,10,83,93,24,0.126926,0.17065,44121.877316,0.000013
9304045,9304045,,54,16,1,17,1,1,1,304.365169,0.000061
9308122,9308122,,54,115,7,122,1,1,1,6139.713717,0.000252
9309097,9309097,,54,140,4,144,1,1,1,11652.451282,0.001068
9311042,9311042,,54,55,2,57,1,1,1,369.004859,0.000144
9401139,9401139,,2,421,40,461,4,0.452282,0.60474,623927.533219,0.002194
9404151,9404151,,54,77,2,79,4,0.40625,0.444444,12363.876148,0.000461
9407087,9407087,,37,1299,9,1308,5,0.350685,0.42526,258218.803172,0.00608
9408099,9408099,,37,1006,7,1013,6,0.281659,0.34845,39715.081066,0.003122
9501030,9501030,,2,126,27,153,6,0.316738,0.382611,142981.783648,0.001118
9503124,9503124,,2,1114,10,1124,7,0.260597,0.309567,322118.401103,0.004464
9504090,9504090,,54,337,4,341,5,0.290323,0.327284,41559.827104,0.002021
9504145,9504145,,54,192,2,194,2,0.625,0.7,1677.158862,0.000791
9505025,9505025,,54,30,14,44,8,0.239514,0.287331,23885.364345,0.000227
9505054,9505054,,54,63,10,73,8,0.230088,0.270971,9509.851718,0.000182
9505105,9505105,,54,327,21,348,8,0.245203,0.301139,125648.24377,0.000734
9505162,9505162,,54,205,25,230,8,0.24786,0.306502,54051.853189,0.000463
9506048,9506048,,54,49,7,56,9,0.227036,0.267185,3311.435327,0.000173
9506112,9506112,,54,189,17,206,9,0.22768,0.269028,103488.167516,0.000326
9506144,9506144,,54,77,15,92,9,0.22466,0.266559,26296.889266,0.000199
9507050,9507050,,54,160,19,179,9,0.227421,0.275893,59182.779884,0.000744
9507158,9507158,,54,301,16,317,8,0.236368,0.278549,104974.128802,0.000818
9508094,9508094,,2,90,29,119,11,0.229277,0.292132,42653.714871,0.000164
9508155,9508155,,54,192,53,245,12,0.231114,0.306886,450723.763633,0.000231
9510142,9510142,,54,35,28,63,13,0.21797,0.275171,38252.789391,0.000138
9510225,9510225,,54,175,22,197,12,0.225733,0.276915,274162.140161,0.000743
9510234,9510234,,54,92,37,129,13,0.217716,0.2824,24794.385436,0.000087
9511030,9511030,,54,329,21,350,12,0.209199,0.258253,89568.649528,0.000989
9511171,9511171,,54,49,22,71,13,0.219572,0.271109,4056.600822,0.000074
9601108,9601108,,54,95,39,134,11,0.23669,0.291008,76140.999004,0.000134
9602022,9602022,,54,520,25,545,9,0.235398,0.274221,346060.957569,0.000875
9602114,9602114,,54,252,35,287,9,0.251227,0.295257,271753.281574,0.00039
9603003,9603003,,54,194,20,214,16,0.182175,0.228528,266747.025912,0.000427
9603150,9603150,,54,148,26,174,17,0.181775,0.237156,69330.430583,0.000271
9603161,9603161,,54,274,32,306,16,0.188796,0.242777,146882.268988,0.000369
9603167,9603167,,37,467,16,483,10,0.226748,0.264968,175107.193181,0.000728
9605184,9605184,,54,148,22,170,17,0.178657,0.231405,27951.471121,0.000199
9605222,9605222,,54,24,23,47,10,0.220939,0.259347,46918.786051,0.00003
9606017,9606017,,37,110,14,124,16,0.186881,0.227486,51836.354445,0.000257
9606040,9606040,,37,118,6,124,18,0.161758,0.206112,28469.53184,0.000157
9607163,9607163,,37,186,7,193,17,0.170258,0.205011,39119.489505,0.000321
9607207,9607207,,37,127,11,138,17,0.173111,0.211179,40589.429588,0.000198
9608086,9608086,,54,28,10,38,14,0.185733,0.222164,9039.009699,0.000042
9609070,9609070,,54,81,15,96,12,0.198451,0.235652,22312.642586,0.000096
9609071,9609071,,54,65,30,95,12,0.215008,0.258015,40115.670124,0.000071
9609239,9609239,,37,145,41,186,13,0.211439,0.260739,84812.440659,0.000103
9611137,9611137,,54,139,65,204,14,0.205714,0.269214,183172.617088,0.000099
9612108,9612108,,54,37,25,62,13,0.199908,0.241474,6835.429607,0.000046
9701162,9701162,,54,114,24,138,12,0.216425,0.252399,116755.423413,0.000113
9702094,9702094,,37,62,37,99,27,0.093665,0.121034,2746094.792456,0.000069
9702155,9702155,,54,63,30,93,13,0.193159,0.238557,43851.393958,0.00007
9702198,9702198,,54,59,31,90,13,0.2172,0.259639,44915.222798,0.000057
9703082,9703082,,54,49,30,79,11,0.206243,0.240993,86869.865638,0.000045
9703166,9703166,,37,424,22,446,13,0.193667,0.231013,173129.925245,0.000334
9704097,9704097,,54,29,30,59,13,0.208527,0.249477,33026.484033,0.000029
9705030,9705030,,54,70,26,96,12,0.208518,0.244176,15756.837085,0.000062
9705044,9705044,,54,71,27,98,12,0.210891,0.242989,457442.890466,0.000054
9705104,9705104,,54,65,34,99,12,0.220066,0.257123,118014.856505,0.000078
9705220,9705220,,37,39,56,95,29,0.082401,0.114779,169376.46177,0.000033
9706005,9706005,,54,11,15,26,13,0.197131,0.229219,1197.184641,0.000017
9707014,9707014,,54,16,20,36,30,0.078168,0.10904,29466.97932,0.00002
9707042,9707042,,2,43,18,61,31,0.073273,0.102949,20144.884263,0.000044
9707049,9707049,,54,16,25,41,30,0.07682,0.105081,81008.325894,0.000027
9710230,9710230,,4,139,10,149,32,0.070125,0.098011,33908.821715,0.000147
9711036,9711036,,54,8,23,31,29,0.084352,0.115147,69682.061921,0.00002
9711104,9711104,,54,17,7,24,13,0.184226,0.209381,2936.15225,0.000025
9712028,9712028,,54,129,26,155,29,0.086347,0.122041,287535.986371,0.000165
9712042,9712042,,37,14,7,21,29,0.083459,0.110493,24555.660211,0.000019
9802194,9802194,,54,22,22,44,30,0.080807,0.114404,16861.833699,0.000025
9805056,9805056,,54,17,13,30,30,0.081476,0.114753,13770.72343,0.000018
9805206,9805206,,54,11,20,31,29,0.085821,0.117985,8225.62266,0.000016
9806094,9806094,,54,22,21,43,30,0.080726,0.113087,8433.241574,0.000023
9810188,9810188,,4,328,30,358,25,0.118587,0.157291,879049.727129,0.000344
9811217,9811217,,54,24,58,82,28,0.092615,0.132207,40265.054719,0.000022
9905036,9905036,,54,14,18,32,30,0.077848,0.103595,2634.740022,0.00002
9907041,9907041,,54,12,4,16,30,0.083258,0.112236,5386.883745,0.000017
9908007,9908007,,54,11,27,38,27,0.099891,0.132009,23643.83709,0.000019
9908144,9908144,,4,54,41,95,25,0.118977,0.161819,208041.265578,0.000042
9909108,9909108,,37,23,24,47,25,0.118533,0.156277,74710.244345,0.000036
9909120,9909120,,37,22,4,26,26,0.106816,0.133523,3125.351558,0.000032
9909229,9909229,,54,18,27,45,23,0.135379,0.174553,218512.440257,0.000019
9910238,9910238,,54,11,21,32,24,0.121236,0.151851,27994.196847,0.000016
9910248,9910248,,54,5,31,36,24,0.122248,0.15626,2117.471583,0.000013
9910268,9910268,,54,5,27,32,24,0.122994,0.158012,58232.89571,0.000013
9204040,9204040,,54,11,0,11,0,0,0,0,0.000131
9203084,9203084,,54,33,0,33,0,0,0,0,0.000472
9204035,9204035,,54,40,0,40,0,0,0,0,0.000374
9205041,9205041,,54,34,0,34,0,0,0,0,0.000452
9207049,9207049,,54,16,0,16,0,0,0,0,0.000106
9207111,9207111,,54,18,0,18,0,0,0,0,0.000126
9301042,9301042,,37,344,0,344,0,0,0,0,0.001617
9301043,9301043,,54,69,0,69,0,0,0,0,0.000675
9201015,9201015,,2,14,1,15,1,1,1,452.375562,0.005618
9201040,9201040,,4,35,0,35,0,0,0,0,0.000533
9201047,9201047,,54,12,1,13,1,1,1,3.520678,0.000084
9202046,9202046,,54,91,1,92,1,1,1,69.97885,0.000769
9202059,9202059,,54,33,0,33,0,0,0,0,0.000356
9202092,9202092,,1,64,0,64,0,0,0,0,0.000473
9203008,9203008,,8,9,0,9,0,0,0,0,0.000134
9203031,9203031,,54,17,0,17,0,0,0,0,0.000151
9204037,9204037,,54,4,0,4,0,0,0,0,0.000063
9204046,9204046,,2,66,0,66,0,0,0,0,0.000641
9205046,9205046,,31,58,0,58,0,0,0,0,0.000281
9205060,9205060,,31,3,1,4,1,1,1,20.833384,0.000071
9205062,9205062,,1,8,3,11,2,0.666667,0.75,3392.049212,0.000286
9205068,9205068,,54,167,0,167,0,0,0,0,0.0027
9206023,9206023,,8,3,0,3,0,0,0,0,0.000105
9206051,9206051,,1,19,0,19,0,0,0,0,0.000183
9206078,9206078,,31,76,2,78,3,0.470588,0.5625,6014.452392,0.000314
9207016,9207016,,2,219,1,220,1,1,1,5361.956935,0.006208
9208076,9208076,,31,22,0,22,0,0,0,0,0.000113
9209052,9209052,,31,41,4,45,2,0.75,0.833333,6684.086591,0.000331
9210015,9210015,,65,37,0,37,0,0,0,0,0.000195
9210021,9210021,,65,104,0,104,0,0,0,0,0.000588
9210121,9210121,,2,39,4,43,2,0.833333,0.9,12481.581231,0.000274
9211021,9211021,,31,199,0,199,0,0,0,0,0.00065
9211041,9211041,,2,7,2,9,2,0.75,0.833333,19.054135,0.000069
9212089,9212089,,54,3,1,4,2,0.666667,0.75,0.166667,0.000062
9301005,9301005,,2,13,2,15,3,0.538462,0.619048,109.160177,0.000094
9302033,9302033,,65,80,9,89,3,0.666667,0.770833,30598.331929,0.000329
9302069,9302069,,2,4,5,9,2,0.692308,0.777778,2551.394778,0.000066
9302126,9302126,,34,111,10,121,3,0.441176,0.511111,111647.907221,0.000425
9303032,9303032,,34,20,7,27,3,0.647059,0.787879,34701.612863,0.000071
9304155,9304155,,1,15,6,21,5,0.386364,0.569608,17781.169606,0.000087
9305185,9305185,,2,171,13,184,2,0.740741,0.825,24471.012579,0.002017
9308042,9308042,,1,22,3,25,5,0.361702,0.481373,13104.987783,0.000091
9305139,9305139,,2,51,0,51,0,0,0,0,0.000479
9309140,9309140,,54,194,19,213,3,0.649123,0.747748,162075.49087,0.000566
9204102,9204102,,37,71,0,71,0,0,0,0,0.00183
9211097,9211097,,37,81,1,82,1,1,1,10483.200557,0.001172
9402002,9402002,,2,282,14,296,3,0.69697,0.797101,45222.133546,0.002893
9402005,9402005,,54,58,7,65,2,0.769231,0.85,32849.884087,0.001277
9402044,9402044,,37,257,0,257,0,0,0,0,0.003818
9403195,9403195,,37,88,1,89,1,1,1,2964.119972,0.000909
9403198,9403198,,37,124,1,125,1,1,1,33.606615,0.001548
