,FromNodeId,ToNodeId,modularity_from,modularity_to
17,9505105,9308122,54,54
18,9506112,9308122,54,54
19,9508155,9308122,54,54
20,9601108,9308122,54,54
22,9609239,9308122,37,54
27,9706110,9308122,37,54
28,9705131,9308122,54,54
31,9710046,9308122,2,54
32,9610162,9308122,54,54
34,9812061,9308122,54,54
37,9803072,9308122,54,54
38,9610251,9308122,54,54
39,9601036,9308122,54,54
41,9611184,9308122,54,54
46,9412236,9308122,37,54
55,9807124,9308122,54,54
61,9610105,9308122,54,54
62,9507115,9308122,54,54
72,7195,9308122,54,54
73,9506110,9308122,54,54
86,12213,9308122,54,54
109,9509106,9308122,2,54
132,9504090,9309097,54,54
133,9504145,9309097,54,54
135,9510234,9309097,54,54
136,9601108,9309097,54,54
137,9602114,9309097,54,54
138,9603150,9309097,54,54
139,9603161,9309097,54,54
151,9807087,9309097,54,54
152,9706110,9309097,37,54
153,9705131,9309097,54,54
155,9810201,9309097,37,54
156,9811004,9309097,37,54
158,9710046,9309097,2,54
159,9608024,9309097,2,54
162,9704151,9309097,37,54
167,1206,9309097,0,54
169,9605200,9309097,54,54
172,9911068,9309097,2,54
175,9907086,9309097,37,54
178,9811131,9309097,37,54
181,2222,9309097,37,54
182,9412236,9309097,37,54
213,11197,9309097,37,54
258,9506171,9309097,8,54
327,9407087,9401139,37,2
328,9503124,9401139,2,2
329,9611137,9401139,54,2
331,9712028,9401139,54,2
336,9505186,9401139,2,2
340,9502072,9401139,54,2
341,9609017,9401139,54,2
342,9709062,9401139,54,2
343,9508143,9401139,2,2
346,9802067,9401139,37,2
350,9410167,9401139,2,2
351,9508154,9401139,2,2
353,9809039,9401139,2,2
356,9612121,9401139,2,2
357,9711165,9401139,3,2
358,9803031,9401139,3,2
359,9907166,9401139,3,2
360,9909215,9401139,3,2
361,9701019,9401139,2,2
362,9806199,9401139,2,2
363,9611203,9401139,2,2
364,9710046,9401139,2,2
370,9809204,9401139,2,2
373,9607201,9401139,2,2
374,9803116,9401139,2,2
375,9910053,9401139,2,2
376,9604103,9401139,2,2
378,9504081,9401139,2,2
382,9812061,9401139,54,2
384,9510182,9401139,54,2
385,9506126,9401139,2,2
386,9604196,9401139,11,2
387,9703136,9401139,2,2
388,9711102,9401139,37,2
389,9802051,9401139,2,2
390,9702163,9401139,2,2
392,9801132,9401139,54,2
397,9909061,9401139,31,2
398,9810099,9401139,3,2
404,9608117,9401139,2,2
407,9611184,9401139,54,2
409,9807171,9401139,2,2
416,9410237,9401139,65,2
418,9704143,9401139,2,2
419,2222,9401139,37,2
422,9507090,9401139,2,2
436,9506011,9401139,2,2
448,9411028,9401139,25,2
452,9603123,9401139,2,2
453,9806146,9401139,34,2
454,9807127,9401139,2,2
457,9604168,9401139,2,2
461,9710179,9401139,19,2
472,9504006,9401139,54,2
473,9403173,9401139,6,2
475,9505052,9401139,1,2
479,9603074,9401139,54,2
484,9911200,9401139,2,2
485,9909227,9401139,2,2
490,9612192,9401139,54,2
494,9707217,9401139,2,2
498,9504034,9401139,54,2
508,7195,9401139,54,2
513,9509148,9401139,2,2
523,9812072,9401139,37,2
526,11283,9401139,3,2
528,9712084,9401139,2,2
532,9707099,9401139,2,2
560,9811019,9401139,2,2
570,106178,9401139,2,2
576,9503057,9401139,2,2
585,109162,9401139,3,2
587,110055,9401139,0,2
594,110067,9401139,19,2
600,111284,9401139,54,2
611,204089,9401139,54,2
626,207130,9401139,31,2
640,210292,9401139,4,2
654,303072,9401139,2,2
659,303256,9401139,3,2
680,9508058,9401139,2,2
684,9509106,9401139,2,2
723,9708164,9401139,2,2
731,9806123,9401139,54,2
735,9811093,9401139,2,2
738,9903268,9401139,2,2
741,9906044,9401139,2,2
744,9908199,9401139,2,2
825,9408099,9407087,37,37
826,9501030,9407087,2,37
827,9503124,9407087,2,37
828,9504090,9407087,54,37
829,9505105,9407087,54,37
830,9505162,9407087,54,37
831,9506112,9407087,54,37
833,9507050,9407087,54,37
834,9508155,9407087,54,37
836,9510225,9407087,54,37
837,9511030,9407087,54,37
839,9601108,9407087,54,37
840,9607163,9407087,37,37
841,9607207,9407087,37,37
843,9609239,9407087,37,37
844,9611137,9407087,54,37
845,9702094,9407087,37,37
848,9703166,9407087,37,37
849,9712028,9407087,54,37
853,9603136,9407087,37,37
855,9901128,9407087,34,37
856,9505186,9407087,2,37
858,9612128,9407087,0,37
860,9502072,9407087,54,37
861,9807087,9407087,54,37
865,9411048,9407087,37,37
866,9411149,9407087,37,37
867,9503179,9407087,37,37
868,9505006,9407087,37,37
869,9505062,9407087,37,37
870,9505075,9407087,37,37
871,9505100,9407087,37,37
872,9505150,9407087,37,37
873,9511154,9407087,37,37
875,9603042,9407087,37,37
877,9709062,9407087,54,37
880,9706110,9407087,37,37
883,9411057,9407087,37,37
884,9604034,9407087,37,37
885,9611190,9407087,37,37
886,9705131,9407087,54,37
887,9802067,9407087,37,37
889,9905111,9407087,34,37
891,9503121,9407087,37,37
892,9906242,9407087,37,37
896,9803232,9407087,37,37
897,9811139,9407087,37,37
902,9811232,9407087,2,37
905,9804124,9407087,37,37
909,9412184,9407087,2,37
910,9706109,9407087,37,37
911,9408083,9407087,2,37
913,9711107,9407087,2,37
917,9503030,9407087,54,37
919,9611203,9407087,2,37
920,9710046,9407087,2,37
921,9505035,9407087,37,37
922,9509161,9407087,37,37
923,9510101,9407087,37,37
924,9510204,9407087,37,37
926,9706089,9407087,0,37
935,9809204,9407087,2,37
936,9811101,9407087,2,37
938,9504102,9407087,37,37
939,9507008,9407087,37,37
940,9509176,9407087,37,37
945,9705057,9407087,37,37
950,9706099,9407087,37,37
959,9711201,9407087,54,37
960,9411102,9407087,37,37
964,9512161,9407087,37,37
967,9607109,9407087,37,37
969,9701123,9407087,37,37
970,9706050,9407087,37,37
973,9802007,9407087,37,37
980,9610101,9407087,11,37
981,9707185,9407087,11,37
983,9503163,9407087,37,37
984,9604004,9407087,37,37
986,9707244,9407087,37,37
988,9805172,9407087,37,37
994,9610162,9407087,54,37
996,9812061,9407087,54,37
998,9509066,9407087,37,37
1000,9704114,9407087,37,37
1004,9510182,9407087,54,37
1008,9604196,9407087,11,37
1009,9703136,9407087,2,37
1011,9711102,9407087,37,37
1012,9802051,9407087,2,37
1019,9911161,9407087,34,37
1020,9705169,9407087,54,37
1021,9803072,9407087,54,37
1024,9909061,9407087,31,37
1027,9706082,9407087,37,37
1028,9511104,9407087,16,37
1036,9602120,9407087,54,37
1038,9610251,9407087,54,37
1041,9707158,9407087,37,37
1044,9611184,9407087,54,37
1046,9503115,9407087,37,37
1047,9506102,9407087,37,37
1052,9605032,9407087,54,37
1053,9908171,9407087,34,37
1054,9704170,9407087,37,37
1055,9710116,9407087,37,37
1056,9712005,9407087,37,37
1060,9807171,9407087,2,37
1070,9911096,9407087,34,37
1075,9701069,9407087,37,37
1081,9602174,9407087,37,37
1087,2222,9407087,37,37
1089,9703110,9407087,37,37
1096,9703210,9407087,37,37
1097,9609192,9407087,6,37
1104,9604199,9407087,37,37
1116,9504150,9407087,16,37
1122,3136,9407087,34,37
1124,9708044,9407087,37,37
1125,9806159,9407087,34,37
1130,9506011,9407087,2,37
1140,9808169,9407087,8,37
1143,3190,9407087,65,37
1144,9411028,9407087,25,37
1152,3198,9407087,54,37
1154,9510129,9407087,37,37
1157,9703072,9407087,37,37
1161,9604041,9407087,37,37
1166,9806009,9407087,37,37
1168,3263,9407087,37,37
1169,9607202,9407087,37,37
1172,9609219,9407087,37,37
1175,9805096,9407087,34,37
1178,9501057,9407087,6,37
1182,4063,9407087,34,37
1185,9509132,9407087,2,37
1193,9707120,9407087,37,37
1198,9704104,9407087,37,37
1199,9705199,9407087,37,37
1202,9709109,9407087,11,37
1203,9801024,9407087,11,37
1204,9904045,9407087,11,37
1205,9911242,9407087,11,37
1207,9702180,9407087,37,37
1215,9608054,9407087,37,37
1217,9603086,9407087,2,37
1222,9512105,9407087,62,37
1224,9504006,9407087,54,37
1231,9603074,9407087,54,37
1233,9503086,9407087,37,37
1234,9505004,9407087,37,37
1236,9509175,9407087,37,37
1244,9511053,9407087,2,37
1246,9812196,9407087,2,37
1247,9911200,9407087,2,37
1263,9612192,9407087,54,37
1266,5247,9407087,37,37
1275,9907123,9407087,37,37
1306,9509162,9407087,37,37
1307,9511126,9407087,37,37
1308,9711108,9407087,37,37
1314,9905224,9407087,37,37
1317,9912133,9407087,37,37
1323,9609041,9407087,37,37
1326,9609145,9407087,37,37
1328,9610156,9407087,37,37
1334,9704174,9407087,37,37
1335,9705232,9407087,37,37
1336,9708118,9407087,37,37
1338,9804105,9407087,37,37
1348,9911022,9407087,37,37
1353,9504034,9407087,54,37
1367,9506160,9407087,2,37
1372,9504047,9407087,2,37
1380,7170,9407087,2,37
1383,9705087,9407087,11,37
